titel;lage;miete;groesse;preis_qm;long;lati;pricecat
Ideale Single Wohnung, Neubau, moderne 2 Zi. mit Balkon in Finthen;Katzenberg 7, Finthen, Mainz;540;47;11,4893617;8,1822113;49,9858893;10 bis 12 Euro pro Quadratmeter
Schicke 2-Zimmer-Wohnung mit separater Ankleide und großer Dachterrasse;Wilhelm-Theodor-Römheld-Straße 6, Weisenau, Mainz;810;67;12,08955224;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Wohnen und Arbeiten unter einem Dach im Hechtsheimer Gewerbegebiet;Hechtsheim, Mainz;1200;120;10;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
1ZKnB mit Balkon in ruhiger Citylage nahe Schillerplatz und Münsterplatz;Münsterstraße, Altstadt, Mainz;420;33;12,72727273;8,2641841;49,9987871;12 bis 15 Euro pro Quadratmeter
Schöne neu sanierte 2 ZKBB-Wohnung in Finthen zu vermieten!;Sertoriusring 307, Finthen, Mainz;550;65;8,461538462;8,1787664;49,9973;8 bis 10 Euro pro Quadratmeter
++Appartment Am Lemmchen++;Am Lemmchen 31c, Mombach, Mainz;280;26;10,76923077;8,2168711;50,0197154;10 bis 12 Euro pro Quadratmeter
Möbliertes Apartment in Mainzer Neustadt;Neustadt, Mainz;715;35;20,42857143;8,2582859;50,0099123;mehr als 20 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Neustadt;Illstraße, Neustadt, Mainz;550;53;10,37735849;8,2616137;50,0111959;10 bis 12 Euro pro Quadratmeter
Am Winterhafen;Am Winterhafen, Altstadt, Mainz;1990;130;15,30769231;8,2853675;49,9922342;15 bis 20 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Gonsenheim;Bürgermeister-Alexander-Strasse, Gonsenheim, Mainz;650;60;10,83333333;8,2180202;50,0098868;10 bis 12 Euro pro Quadratmeter
Helle 2 Zimmer Dachgeschoss-Wohnung in zentraler Lage;Hauptstr. 0, Mombach, Mainz;470;45;10,44444444;8,2381038;50,0163604;10 bis 12 Euro pro Quadratmeter
Wohnen am alten Zollhafen - Mietwohnungen mit Balkon und Einbauküche;Rheinallee, Neustadt, Mainz;775;61;12,70491803;8,2410274;50,0216929;12 bis 15 Euro pro Quadratmeter
Schöne 2 Zimmer S I N G E L wohnung in ruhiger Neustadtlage;Neustadt, Mainz;450;42;10,71428571;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
3 Zimmer Wohnung in Mainz Bretzenheim;Bretzenheim, Mainz;675;75;9;8,244128;49,981758;8 bis 10 Euro pro Quadratmeter
1 Zimmer mit Einbauküche, umfangreich modernisiert!;Kaiser-Wilhelm-Ring 2, Neustadt, Mainz;385;22;17,5;8,2590818;50,0023819;15 bis 20 Euro pro Quadratmeter
Geräumige 2-ZKB für Studenten in Mainz!;Rüsselsheimer Allee, Laubenheim, Mainz;370;36;10,27777778;8,3248592;49,9635642;10 bis 12 Euro pro Quadratmeter
Gemütliches 1ZKB Studentenapartment in Mainz!;Rüsselsheimer Allee, Laubenheim, Mainz;220;18;12,22222222;8,3248592;49,9635642;12 bis 15 Euro pro Quadratmeter
City-Appartement ... direkt vom Eigentümer;Umbach 9, Altstadt, Mainz;539;50;10,78;8,2652303;50,0006276;10 bis 12 Euro pro Quadratmeter
Funktional geschnittene 2 Zimmer Wohnung in sehr zentraler Lage von Mainz;Kaiserstraße, Altstadt, Mainz;670;64;10,46875;8,2647432;50,0058567;10 bis 12 Euro pro Quadratmeter
Loftartig Wohnen in einem neuwertigen MFH ;Ebersheim, Mainz;650;68;9,558823529;8,2480897;49,9144711;8 bis 10 Euro pro Quadratmeter
Neuwertige und Lichtdurchflutete 3 Zimmerwohnung ;Ebersheim, Mainz;715;75;9,533333333;8,2480897;49,9144711;8 bis 10 Euro pro Quadratmeter
Schöne vier Zimmer Wohnung in Mainz, Hechtsheim;Frühlingsstraße 8 A, Hechtsheim, Mainz;750;104;7,211538462;8,27832;49,96224;6 bis 8 Euro pro Quadratmeter
Student/-in für schnuckeliges Nichtraucher-Appartment nahe Uni Mainz gesucht! Provisionsfrei!;Oberstadt, Mainz;359;27;13,2962963;8,2650536;49,9897898;12 bis 15 Euro pro Quadratmeter
++Wohnoase auf 150m² auf 2 Etagen++ Auch WG geeignet;Finthen, Mainz;1400;150;9,333333333;8,173984;49,983699;8 bis 10 Euro pro Quadratmeter
Mainz Hechtsheim Maisonettenwohnung 88 m³, 2,5 Zimmer und Garten;Hechtsheim, Mainz;1080;88;12,27272727;8,2674162;49,9592577;12 bis 15 Euro pro Quadratmeter
1 Zimmer-Appartment mit Balkon in MZ-Neustadt;Kaiser-Wilh.-Ring , Neustadt, Mainz;265;22;12,04545455;8,2553425;50,0058859;12 bis 15 Euro pro Quadratmeter
5-Zimmerwohnung 132 qm, Fußgängerzone Mainz, 1. OG, derzeit im Umbau;Lotharstraße 9, Altstadt, Mainz;1280;132;9,696969697;8,2669878;50,0015494;8 bis 10 Euro pro Quadratmeter
Provisionsfrei  Mieten! 5 Zimmer Wohnung ideal zB. für eine WG, in bester Lage Mainz Hechtsheim;Hechtsheim, Mainz;1100;105;10,47619048;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
Erstbezug nach Renovierung: Helles 1 Zimmer-Apartment an der Kupferbergterrasse in Mainz;Oberstadt, Mainz;360;31;11,61290323;8,2650536;49,9897898;10 bis 12 Euro pro Quadratmeter
"""Perfekt für Singles"" Wunderschöne helle 2ZKB Wohnung mit 2 Balkonen";Elbestraße 92a, Gonsenheim, Mainz;745;58;12,84482759;8,2234006;50,0054603;12 bis 15 Euro pro Quadratmeter
Schöne 3 ZKB Maisonettewohnung in MZ-Hechtsheim;Hechtsheim, Mainz;780;85;9,176470588;8,2674162;49,9592577;8 bis 10 Euro pro Quadratmeter
großzüglge 2-ZKBB in Mainzer Neustadt;Adam-Karrillon-Straße, Neustadt, Mainz;780;65;12;8,263764;50,0067654;12 bis 15 Euro pro Quadratmeter
schöne 1 ZKBB in Mainzer-Neustadt;Adam-Karrillon-Straße, Neustadt, Mainz;480;35;13,71428571;8,263764;50,0067654;12 bis 15 Euro pro Quadratmeter
Schönes, ruhiges, helles 3-Zi-App.;Daniel-Brendel-Straße 2, Drais, Mainz;875;93;9,408602151;8,1911389;49,9751072;8 bis 10 Euro pro Quadratmeter
Schöne, helle sonnige drei Zimmer Wohnung in Mainz - Bretzenheim;Bretzenheim, Mainz;1420;120;11,83333333;8,244128;49,981758;10 bis 12 Euro pro Quadratmeter
Große, ständig modernisierte 4,5-Zimmer Erdgeschosswohnung am Volkspark mit großartigem Rheinblick;Oberstadt, Mainz;1890;154;12,27272727;8,2650536;49,9897898;12 bis 15 Euro pro Quadratmeter
Freundliches 1-Zimmer-Appartement, gute Nahverkehrsmöglichkeiten;Marienborn, Mainz;240;22;10,90909091;8,2255011;49,9599462;10 bis 12 Euro pro Quadratmeter
Top renovierte, schöne 3 Zimmer Wohnung in Mainz, Lerchenberg;Regerstraße 4, Lerchenberg, Mainz;800;84;9,523809524;8,19913;49,95992;8 bis 10 Euro pro Quadratmeter
Schöne ein Zimmer Wohnung in Mainz, Mombach;Nestlestraße 63, Mombach, Mainz;450;29;15,51724138;8,23094;50,02089;15 bis 20 Euro pro Quadratmeter
*** Über den Dächern von Mainz ***;Altstadt, Mainz;870,6;72;12,09166667;8,269193;49,9987651;12 bis 15 Euro pro Quadratmeter
** TOP LAGE VON MAINZ ** 3 - FAMILIENHAUS ** ERSTBEZUG ** WOHNUNG MIT TERRASSE UND GARTENANTEIL;Hechtsheimer Straße 6, Oberstadt, Mainz;900;85;10,58823529;8,2801906;49,9828601;10 bis 12 Euro pro Quadratmeter
** TOP LAGE VON MAINZ ** 3 - FAMILIENHAUS ** ERSTBEZUG** WOHNUNG MIT GROSSEN BALKON UND GARTENANTEIL;Hechtsheimer Straße 6, Oberstadt, Mainz;900;83;10,84337349;8,2801906;49,9828601;10 bis 12 Euro pro Quadratmeter
Helle 1-Zimmer-Wohnung mit Balkon;Rheinallee 62a, Neustadt, Mainz;685;45;15,22222222;8,2607425;50,0124448;15 bis 20 Euro pro Quadratmeter
Penthouse der Extraklasse - Wohnen im PARKQUARTIER;Göttelmannstr. 15b, Weisenau, Mainz;1802;138;13,05797101;8,2924825;49,9838556;12 bis 15 Euro pro Quadratmeter
Sonnige Neubauwohnung mit Terrasse **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;604;54;11,18518519;8,291409;49,9830827;10 bis 12 Euro pro Quadratmeter
